| Размер массива (n) | Потоки (p) | Время (T, с) | Ускорение (S) | Эффективность (E) |
|---------------------|------------|--------------|---------------|-------------------|
| 100000 | 1 | 0.021 | 1.00 | 1.00 |
| 100000 | 2 | 0.017 | 1.27 | 0.63 |
| 100000 | 4 | 0.024 | 0.86 | 0.21 |
| 100000 | 8 | 0.026 | 0.80 | 0.10 |
| 1000000 | 8 | 0.180 | 1.00 | 1.00 |
| 1000000 | 4 | 0.160 | 1.00 | 1.00 |
| 1000000 | 8 | 0.179 | 1.00 | 1.00 |
| 1000000 | 16 | 0.174 | 1.00 | 1.00 |
| 1000000 | 6 | 0.180 | 1.00 | 1.00 |
| 1000000 | 6 | 0.177 | 1.00 | 1.00 |
| 100 | 6 | 0.000 | 1.00 | 1.00 |
| 100000 | 1 | 0.020 | 1.00 | 1.00 |
| 100000 | 1 | 0.018 | 1.00 | 1.00 |
